CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
1243|	Riobamba|
1244|	Pichincha|
1244|	San Miguel De Los Bancos|
1245|	Sucumbíos|
1245|	Nueva Loja|
1246|	Pichincha|
1246|	Quito |
1247|	Tungurahua|
1247|	Baños|
1248|	Napo|
1248|	Parque Nacional Yasuní|
1248|	Puerto Misahuallí|
1248|	Tena|
1249|	Napo|
1249|	Tena|
1250|	Bolívar|
1250|	Guaranda |
1251|	Bolívar|
1251|	Guaranda |
1252|	Napo|
1252|	Tena|
1253|	Azuay|
1253|	Cuenca|
1254|	Azuay|
1254|	Cuenca|
1255|	Azuay|
1255|	Cuenca|
1256|	Azuay|
1256|	Cuenca|
1257|	Azuay|
1257|	Cuenca|
1258|	Galápagos|
1258|	Puerto Ayora|
1259|	Galápagos|
1259|	Puerto Villamil|
1260|	Domingo De Los Tsáchilas|
1260|	Santo Domingo|
1261|	Pichincha|
1261|	Quito |
1262|	Azuay|
1262|	Cuenca|
1263|	Azuay|
1263|	Gualaceo|
1264|	Cañar|
1265|	Pichincha|
1265|	Quito |
1266|	Tungurahua|
1266|	Baños|
1267|	Chimborazo|
1267|	Alausí|
1268|	Azuay|
1268|	Santa Isabel|
1269|	Azuay|
1269|	Cuenca|
1270|	Pichincha|
1270|	Quito |
1271|	Azuay|
1271|	Gualaceo|
1272|	Cañar|
1273|	Guayas|
1273|	Guayaquil |
1274|	Azuay|
1274|	Cuenca|
1275|	Bolívar|
1275|	Guaranda |
1276|	Carchi|
1276|	Imbabura|
1276|	El Ángel|
1276|	Cotacachi|
1276|	Otavalo|
1277|	Bolívar|
1277|	Guaranda |
1278|	Bolívar|
1278|	Guaranda |
1279|	Napo|
1279|	Tena|
1280|	Guayas|
1280|	Guayaquil |
1281|	Tungurahua|
1281|	Baños|
1282|	Azuay|
1282|	Chimborazo|
1282|	Guayas|
1282|	Pichincha|
1282|	Ciudad Mitad del Mundo|
1282|	Cuenca|
1282|	Riobamba|
1282|	Guayaquil |
1282|	Quito |
1283|	Bolívar|
1283|	Guaranda |
1284|	Pichincha|
1284|	Quito |
1285|	Azuay|
1285|	Chordeleg|
1285|	El Sagrario|
1285|	San Sebastián|
1285|	Gualaceo|
1285|	Guayas|
1285|	CATEDRAL DE CUENCA|
1285|	Cuenca|
1285|	Guayaquil |
1286|	Bolívar|
1286|	Guaranda |
1287|	Chimborazo|
1287|	Alausí|
1288|	Pichincha|
1288|	Quito |
1289|	Santa Elena|
1290|	Bolívar|
1290|	Guaranda |
1291|	Galápagos|
1291|	Islas Galápagos|
1291|	Puerto Ayora|
1292|	Cotopaxi|
1292|	Galápagos|
1292|	Pichincha|
1292|	Latacunga|
1292|	Puerto Ayora|
1292|	Puerto Baquerizo Moreno |
1292|	Puerto Villamil|
1292|	Quito |
1293|	Pichincha|
1293|	San Miguel De Los Bancos|
1294|	Napo|
1294|	Tena|
1295|	Cotopaxi|
1295|	Latacunga|
1296|	Cotopaxi|
1296|	Latacunga|
1297|	Napo|
1297|	Tena|
1298|	Orellana|
1298|	Puerto Francisco De Orellana|
1299|	Sucumbíos|
1299|	Puerto El Carmen De Putumayo|
1300|	Cotopaxi|
1300|	Parque Nacional Cotopaxi |
1300|	Pujilí|
1300|	La Avenida de Los Volcanes|
1300|	Laguna de Quilotoa|
1301|	Orellana|
1301|	Puerto Francisco De Orellana|
1302|	Imbabura|
1302|	Tungurahua|
1302|	Parque Nacional Cotopaxi |
