CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
1263|	Andalucía|
1263|	Sanlúcar de Barrameda|
1264|	Andalucía|
1264|	Sanlúcar de Barrameda|
1265|	Valencia|
1266|	Castilla - La Mancha|
1266|	Cuenca|
1267|	Madrid|
1268|	Madrid|
1269|	Madrid|
1270|	Madrid|
1271|	Madrid|
1272|	Madrid|
1273|	Islas Baleares|
1273|	Palma de Mallorca|
1274|	Cataluña|
1274|	Lérida|
1275|	Castilla - León|
1275|	Segovia|
1276|	Cantabria|
1276|	Santander|
1277|	Madrid|
1277|	Villanueva de la Cañada|
1278|	Asturias|
1278|	Oviedo|
1279|	Madrid|
1279|	Aranjuez|
1280|	Castilla - La Mancha|
1280|	Toledo|
1281|	Madrid|
1282|	Asturias|
1282|	Oviedo|
1283|	Castilla - León|
1283|	Madrid|
1283|	Segovia|
1283|	Aranjuez|
1284|	Aragón|
1284|	Huesca|
1285|	Galicia|
1285|	La Coruña|
1285|	Lugo|
1285|	Orense|
1285|	Pontevedra|
1286|	Islas Baleares|
1286|	Palma de Mallorca|
1287|	Murcia|
1288|	Asturias|
1288|	Oviedo|
1290|	Galicia|
1290|	Pontevedra|
1291|	Galicia|
1291|	Pontevedra|
1292|	Canarias|
1292|	Las Palmas de Gran Canaria|
1293|	Canarias|
1293|	Santa Cruz de Tenerife|
1294|	Canarias|
1294|	Santa Cruz de Tenerife|
1295|	Canarias|
1295|	Las Palmas de Gran Canaria|
1295|	Santa Cruz de Tenerife|
1296|	Canarias|
1296|	Las Palmas de Gran Canaria|
1296|	Santa Cruz de Tenerife|
1297|	Canarias|
1297|	Las Palmas de Gran Canaria|
1298|	Canarias|
1298|	Santa Cruz de Tenerife|
1299|	Canarias|
1299|	Las Palmas de Gran Canaria|
1300|	Canarias|
1300|	Las Palmas de Gran Canaria|
1301|	Canarias|
1301|	Las Palmas de Gran Canaria|
1302|	Andalucía|
1302|	Sevilla|
1303|	Andalucía|
1303|	Málaga|
1304|	Andalucía|
1304|	Málaga|
1305|	Cataluña|
1305|	Barcelona|
1306|	Cataluña|
1306|	Barcelona|
1307|	Andalucía|
1307|	Córdoba|
1308|	Andalucía|
1308|	Córdoba|
1309|	Andalucía|
1309|	Córdoba|
1310|	Valencia|
1311|	Cataluña|
1311|	Sitges|
1312|	Cataluña|
1312|	Sitges|
1313|	Cataluña|
1313|	Sitges|
1314|	Madrid|
1315|	Andalucía|
1315|	Granada|
1316|	Asturias|
1316|	Gijón|
1316|	Avilés|
1317|	Asturias|
1317|	Ribadesella|
1318|	Asturias|
1318|	Ribadesella|
1319|	Asturias|
1319|	Ribadesella|
1320|	Asturias|
1320|	Gijón|
1321|	Aragón|
1321|	Huesca|
1322|	Valencia|
1323|	Andalucía|
1323|	Málaga|
1324|	Andalucía|
1324|	Málaga|
1325|	Cataluña|
1325|	Barcelona|
1326|	Andalucía|
1326|	Marbella|
1327|	País Vasco|
1327|	Bilbao|
1328|	Cataluña|
1328|	Gerona|
1329|	Cataluña|
1329|	Gerona|
1330|	Cataluña|
1330|	Gerona|
1331|	Cataluña|
1331|	Gerona|
1332|	Andalucía|
1332|	Marbella|
1333|	Cataluña|
1333|	Barcelona|
1334|	Cataluña|
1334|	Barcelona|
1335|	Canarias|
1335|	Adeje|
1336|	Andalucía|
1336|	Ronda|
1337|	Andalucía|
1337|	Sevilla|
1338|	Andalucía|
1338|	Fuengirola|
1339|	Canarias|
1339|	Puerto de la Cruz|
1340|	Canarias|
1340|	Puerto de la Cruz|
1341|	Canarias|
1341|	Puerto de la Cruz|
1342|	Canarias|
1342|	Puerto de la Cruz|
1343|	Canarias|
1343|	Puerto del Carmen|
1343|	Playa Blanca|
1344|	Canarias|
1344|	Puerto del Carmen|
1344|	Playa Blanca|
1345|	Cataluña|
1345|	Barcelona|
1346|	Andalucía|
1346|	Sevilla|
1347|	Cataluña|
1347|	Barcelona|
1348|	Castilla - La Mancha|
1348|	Cuenca|
1349|	Castilla - La Mancha|
1349|	Cuenca|
1350|	Andalucía|
1350|	Sevilla|
1351|	Andalucía|
1351|	Marbella|
1352|	Andalucía|
1352|	Ronda|
1353|	Andalucía|
1353|	Sevilla|
1354|	Valencia|
1354|	Alicante|
1355|	Andalucía|
1355|	Sevilla|
1356|	Madrid|
1357|	Madrid|
1358|	Madrid|
1359|	Madrid|
1360|	Madrid|
1361|	Cataluña|
1361|	Barcelona|
1362|	Madrid|
1363|	Andalucía|
1363|	Sevilla|
1364|	Andalucía|
1364|	Sevilla|
1365|	Madrid|
1366|	Madrid|
1367|	Madrid|
1368|	Madrid|
1368|	El Escorial|
1369|	Madrid|
1370|	Canarias|
1370|	Puerto del Carmen|
1370|	Playa Blanca|
1371|	Canarias|
1371|	Puerto del Carmen|
1371|	Playa Blanca|
1372|	Galicia|
1372|	Santiago de Compostela|
1373|	Castilla - La Mancha|
1373|	Toledo|
1374|	Castilla - La Mancha|
1374|	Toledo|
1375|	Madrid|
1376|	Cataluña|
1376|	Barcelona|
1377|	Cataluña|
1377|	Barcelona|
1378|	Aragón|
1378|	Huesca|
1379|	Aragón|
1379|	Huesca|
1380|	Aragón|
1380|	Huesca|
1381|	País Vasco|
1381|	Bilbao|
1382|	Aragón|
1382|	Huesca|
1383|	Aragón|
1383|	Huesca|
1384|	Madrid|
1385|	Madrid|
1386|	Madrid|
1387|	Madrid|
1388|	Islas Baleares|
1388|	Palma de Mallorca|
1389|	Islas Baleares|
1389|	Palma de Mallorca|
1390|	Islas Baleares|
1390|	Palma de Mallorca|
1391|	Islas Baleares|
1391|	Palma de Mallorca|
1392|	Cataluña|
1392|	Barcelona|
1393|	Cataluña|
1393|	Barcelona|
1394|	Canarias|
1394|	Playa Blanca|
1395|	Madrid|
1396|	Madrid|
1397|	Castilla - La Mancha|
1397|	Toledo|
1398|	Andalucía|
1398|	Ronda|
1399|	Islas Baleares|
1399|	Palma de Mallorca|
1400|	Andalucía|
1400|	Sevilla|
1401|	Madrid|
1402|	Madrid|
1403|	Madrid|
1404|	Madrid|
1405|	Madrid|
1406|	Aragón|
1406|	Huesca|
1407|	Madrid|
1408|	Andalucía|
1408|	Granada|
1409|	Madrid|
1410|	Asturias|
1410|	Llanes|
1411|	Aragón|
1411|	Huesca|
1412|	Castilla - León|
1412|	Zamora|
1413|	Murcia|
1414|	Murcia|
1415|	Cantabria|
1415|	Santander|
1416|	Castilla - León|
1416|	Segovia|
1417|	Andalucía|
1417|	Granada|
1418|	Castilla - León|
1418|	Segovia|
1419|	Castilla - León|
1419|	Segovia|
1420|	Andalucía|
1420|	Granada|
1422|	Islas Baleares|
1422|	Ibiza|
1423|	Madrid|
1424|	Andalucía|
1424|	Granada|
1425|	Cataluña|
1425|	Barcelona|
1426|	Cataluña|
1426|	Barcelona|
1427|	Andalucía|
1427|	Sevilla|
1428|	Cataluña|
1428|	Barcelona|
1429|	Cataluña|
1429|	Barcelona|
1430|	Castilla - La Mancha|
1430|	Cuenca|
1431|	Andalucía|
1431|	Sevilla|
1432|	Madrid|
1433|	Andalucía|
1433|	Córdoba|
1433|	Granada|
1433|	Málaga|
1433|	Sevilla|
1433|	Ronda|
1434|	Madrid|
1435|	Andalucía|
1435|	Castilla - La Mancha|
1435|	Madrid|
1435|	Córdoba|
1435|	Granada|
1435|	Sevilla|
1435|	Toledo|
1435|	Ronda|
1435|	Jerez de la Frontera|
1436|	Andalucía|
1436|	Granada|
1437|	Andalucía|
1437|	Málaga|
1438|	Andalucía|
1438|	Córdoba|
1439|	Cataluña|
1439|	Madrid|
1439|	Valencia|
1439|	Barcelona|
