CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
2660|	Huaraz|
2736|	Huaraz|
2823|	Huaraz|
2849|	Huaraz|
2912|	Huaraz|
2913|	Huaraz|
2916|	Huaraz|
2997|	Huaraz|
2999|	Huaraz|
3003|	Huaraz|
3063|	Huaraz|
3102|	Huaraz|
3103|	Huaraz|
3111|	Huaraz|
3259|	Huaraz|
3579|	Huaraz|
3601|	Huaraz|
3644|	Huaraz|
3661|	Huaraz|
3713|	Huaraz|
3880|	Huaraz|
3881|	Huaraz|
3882|	Huaraz|
3883|	Huaraz|
3884|	Huaraz|
3885|	Huaraz|
3886|	Huaraz|
4008|	Huaraz|
4136|	Huaraz|
4183|	Huaraz|
4224|	Huaraz|
4250|	Huaraz|
4282|	Huaraz|
4385|	Huaraz|
4386|	Huaraz|
5178|	Huaraz|
5211|	Huaraz|
5243|	Huaraz|
5244|	Huaraz|
5249|	Huaraz|
5326|	Huaraz|
5328|	Huaraz|
5329|	Huaraz|
5330|	Huaraz|
5331|	Huaraz|
5333|	Huaraz|
5413|	Huaraz|
5475|	Huaraz|
5542|	Huaraz|
5543|	Huaraz|
5575|	Huaraz|
5607|	Huaraz|
5779|	Huaraz|
5781|	Huaraz|
5782|	Huaraz|
5783|	Huaraz|
5784|	Huaraz|
5918|	Huaraz|
5919|	Huaraz|
5920|	Huaraz|
6070|	Huaraz|
6071|	Huaraz|
6316|	Huaraz|
6317|	Huaraz|
6318|	Huaraz|
6436|	Huaraz|
6571|	Huaraz|
6572|	Huaraz|
6573|	Huaraz|
6574|	Huaraz|
6575|	Huaraz|
6576|	Huaraz|
6577|	Huaraz|
6578|	Huaraz|
6579|	Huaraz|
6580|	Huaraz|
6581|	Huaraz|
6582|	Huaraz|
6583|	Huaraz|
6584|	Huaraz|
6585|	Huaraz|
6586|	Huaraz|
6587|	Huaraz|
6588|	Huaraz|
6589|	Huaraz|
6590|	Huaraz|
6591|	Huaraz|
6592|	Huaraz|
6593|	Huaraz|
6600|	Huaraz|
6617|	Huaraz|
6682|	Huaraz|
1000|	Huari|
1056|	Huari|
1904|	Huari|
2516|	Huari|
2912|	Huari|
3111|	Huari|
5211|	Huari|
2270|	Huarmey|
2422|	Huarmey|
2443|	Huarmey|
3066|	Huarmey|
3460|	Huarmey|
3896|	Huarmey|
4511|	Huarmey|
4572|	Huarmey|
6565|	Huarmey|
6633|	Huarmey|
6673|	Huarmey|
871|	Caraz|
1874|	Caraz|
1884|	Caraz|
1904|	Caraz|
1990|	Caraz|
2178|	Caraz|
2403|	Caraz|
2590|	Caraz|
2912|	Caraz|
2999|	Caraz|
3170|	Caraz|
4008|	Caraz|
4136|	Caraz|
5178|	Caraz|
5249|	Caraz|
5328|	Caraz|
5607|	Caraz|
6070|	Caraz|
1884|	Recuay|
1904|	Recuay|
2178|	Recuay|
2516|	Recuay|
2517|	Recuay|
2590|	Recuay|
2849|	Recuay|
2912|	Recuay|
3111|	Recuay|
4008|	Recuay|
5211|	Recuay|
5326|	Recuay|
6071|	Recuay|
6274|	Chimbote|
6275|	Chimbote|
871|	Yungay|
1000|	Yungay|
1055|	Yungay|
1455|	Yungay|
1874|	Yungay|
1884|	Yungay|
1904|	Yungay|
1964|	Yungay|
1990|	Yungay|
2178|	Yungay|
2514|	Yungay|
2519|	Yungay|
2590|	Yungay|
2849|	Yungay|
2895|	Yungay|
2912|	Yungay|
3003|	Yungay|
3111|	Yungay|
3170|	Yungay|
3661|	Yungay|
4008|	Yungay|
5178|	Yungay|
5249|	Yungay|
5328|	Yungay|
5329|	Yungay|
5607|	Yungay|
6070|	Yungay|
6071|	Yungay|
6617|	Yungay|
550|	Abancay|
559|	Abancay|
904|	Abancay|
905|	Abancay|
1278|	Abancay|
2130|	Abancay|
2170|	Abancay|
2662|	Abancay|
3108|	Abancay|
3109|	Abancay|
3764|	Abancay|
645|	Andahuaylas|
3796|	Andahuaylas|
3797|	Andahuaylas|
3804|	Andahuaylas|
2|	Arequipa|
6|	Arequipa|
42|	Arequipa|
97|	Arequipa|
131|	Arequipa|
132|	Arequipa|
150|	Arequipa|
185|	Arequipa|
234|	Arequipa|
253|	Arequipa|
260|	Arequipa|
261|	Arequipa|
329|	Arequipa|
330|	Arequipa|
340|	Arequipa|
397|	Arequipa|
403|	Arequipa|
543|	Arequipa|
549|	Arequipa|
579|	Arequipa|
588|	Arequipa|
592|	Arequipa|
599|	Arequipa|
620|	Arequipa|
628|	Arequipa|
629|	Arequipa|
630|	Arequipa|
644|	Arequipa|
662|	Arequipa|
710|	Arequipa|
740|	Arequipa|
750|	Arequipa|
779|	Arequipa|
848|	Arequipa|
857|	Arequipa|
1003|	Arequipa|
1004|	Arequipa|
1006|	Arequipa|
1026|	Arequipa|
1033|	Arequipa|
1043|	Arequipa|
1053|	Arequipa|
1145|	Arequipa|
1150|	Arequipa|
1177|	Arequipa|
1188|	Arequipa|
1189|	Arequipa|
1196|	Arequipa|
1223|	Arequipa|
1225|	Arequipa|
1241|	Arequipa|
1335|	Arequipa|
1381|	Arequipa|
1387|	Arequipa|
1438|	Arequipa|
1444|	Arequipa|
1445|	Arequipa|
1446|	Arequipa|
1459|	Arequipa|
1463|	Arequipa|
1552|	Arequipa|
1608|	Arequipa|
1622|	Arequipa|
1660|	Arequipa|
1663|	Arequipa|
1667|	Arequipa|
1683|	Arequipa|
1716|	Arequipa|
1761|	Arequipa|
1841|	Arequipa|
1860|	Arequipa|
1867|	Arequipa|
1873|	Arequipa|
1879|	Arequipa|
1937|	Arequipa|
1944|	Arequipa|
1979|	Arequipa|
1997|	Arequipa|
2068|	Arequipa|
2081|	Arequipa|
2082|	Arequipa|
2083|	Arequipa|
2104|	Arequipa|
2105|	Arequipa|
2106|	Arequipa|
2137|	Arequipa|
2145|	Arequipa|
2147|	Arequipa|
2212|	Arequipa|
2339|	Arequipa|
2368|	Arequipa|
2382|	Arequipa|
2383|	Arequipa|
2390|	Arequipa|
2415|	Arequipa|
2416|	Arequipa|
2474|	Arequipa|
2476|	Arequipa|
2480|	Arequipa|
2511|	Arequipa|
2521|	Arequipa|
2565|	Arequipa|
