CONCAT(pck.id, '|')	CONCAT(plz.name, '|')
123|	Leticia|
124|	Cundinamarca|
124|	Tocaima|
125|	Magdalena|
125|	Santa Marta|
126|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
126|	San Andrés|
127|	Magdalena|
127|	Santa Marta|
128|	Bogotá|
128|	Bogotá D.C.|
129|	Bogotá|
129|	Bogotá D.C.|
130|	César|
130|	Valledupar|
130|	La Guajira|
130|	San Juan Del Cesar|
131|	Amazonas|
131|	Leticia|
132|	Boyacá|
132|	El Cocuy|
133|	Antioquía|
133|	Envigado|
133|	Medellín|
134|	La Guajira|
134|	Riohacha|
135|	Putumayo|
135|	Mocoa|
136|	Quindio|
136|	Armenia|
137|	Vaupés|
137|	Mitú|
138|	Risaralda|
138|	Pereira|
139|	Huila|
139|	San Agustín|
140|	Huila|
140|	San Agustín|
141|	Tolima|
141|	Ibague|
142|	Quindio|
142|	Armenia|
143|	Santander|
143|	Aratoca|
143|	Los Santos|
144|	Quindio|
144|	Armenia|
144|	Quimbaya|
145|	Bolívar|
145|	Cartagena de Indias|
146|	Antioquía|
146|	Medellín|
146|	Bolívar|
146|	Cartagena de Indias|
146|	La Guajira|
146|	Riohacha|
146|	Magdalena|
146|	Santa Marta|
146|	Sucre|
146|	Coveñas|
147|	Risaralda|
147|	Pereira|
148|	Antioquía|
148|	San Andrés|
149|	Amazonas|
149|	Leticia|
150|	Quindio|
150|	Montenegro|
151|	Meta|
151|	Villavicencio|
152|	Meta|
152|	Villavicencio|
153|	Magdalena|
153|	Santa Marta|
154|	Magdalena|
154|	Santa Marta|
155|	Bogotá|
155|	Bogotá D.C.|
156|	Magdalena|
156|	Santa Marta|
157|	Boyacá|
157|	Villa De Leyva|
158|	Antioquía|
158|	Santo Domingo|
159|	Magdalena|
159|	Santa Marta|
160|	Magdalena|
160|	Santa Marta|
161|	Magdalena|
161|	Santa Marta|
162|	Magdalena|
162|	Santa Marta|
163|	Magdalena|
163|	Santa Marta|
164|	Magdalena|
164|	Santa Marta|
165|	Magdalena|
165|	Santa Marta|
166|	Magdalena|
166|	Santa Marta|
167|	Antioquía|
167|	Medellín|
168|	Antioquía|
168|	Bolívar|
168|	Cartagena de Indias|
168|	Boyacá|
168|	Santa Fe De Antioquía|
168|	Villa De Leyva|
169|	Antioquía|
169|	Bolívar|
169|	Cartagena de Indias|
169|	Boyacá|
169|	Santa Fe De Antioquía|
169|	Villa De Leyva|
170|	Bogotá|
170|	Bogotá D.C.|
171|	Atlántico|
171|	Barranquilla|
171|	Bolívar|
171|	Cartagena de Indias|
172|	Meta|
172|	Villavicencio|
172|	La Macarena|
173|	Quindio|
173|	Armenia|
173|	Calarca|
173|	Salento|
174|	Bolívar|
174|	Mompós|
175|	Magdalena|
175|	Aracataca|
176|	Amazonas|
176|	Leticia|
177|	Amazonas|
177|	Leticia|
178|	Quindio|
178|	Armenia|
179|	Cundinamarca|
179|	Girardot|
179|	Tolima|
179|	Tocaima|
179|	Melgar|
180|	Magdalena|
180|	Santa Marta|
181|	La Guajira|
181|	Riohacha|
182|	Magdalena|
182|	Santa Marta|
183|	Quindio|
183|	Buenavista|
183|	Cordoba |
183|	Pijao|
183|	Salento|
184|	Caldas|
184|	Manizales|
184|	Quindio|
184|	Montenegro|
185|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
185|	San Andrés|
186|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
186|	San Andrés|
187|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
187|	San Andrés|
188|	Bogotá|
188|	Bogotá D.C.|
189|	Antioquía|
189|	Medellín|
189|	Guatape|
189|	Piedra del Peñol|
190|	Quindio|
190|	Montenegro|
191|	Quindio|
191|	Buenavista|
191|	Cordoba |
191|	Pijao|
192|	Quindio|
192|	Montenegro|
193|	Quindio|
193|	Buenavista|
193|	Cordoba |
193|	Pijao|
193|	Salento|
193|	Montenegro|
194|	Quindio|
194|	Buenavista|
194|	Cordoba |
194|	Pijao|
194|	Salento|
194|	Montenegro|
195|	Magdalena|
195|	Santa Marta|
196|	Archipiélago De San Andrés, Providencia Y Santa Catalina|
196|	San Andrés|
197|	Bolívar|
197|	Mompós|
198|	Antioquía|
198|	Medellín|
199|	Quindio|
199|	Montenegro|
200|	Magdalena|
200|	Santa Marta|
201|	Antioquía|
201|	Armenia|
202|	Norte De Santander|
202|	Puerto Santander|
203|	Huila|
203|	Neiva|
204|	Quindio|
204|	Filandia|
205|	Quindio|
205|	Filandia|
206|	Magdalena|
206|	Santa Marta|
207|	Bogotá|
207|	Bogotá D.C.|
208|	Caldas|
208|	Manizales|
209|	Meta|
209|	Villavicencio|
209|	Acacias|
210|	Bolívar|
210|	Cartagena de Indias|
211|	Magdalena|
211|	Santa Marta|
212|	Meta|
212|	Villavicencio|
212|	Acacias|
213|	Bogotá|
213|	Bogotá D.C.|
214|	Magdalena|
214|	Santa Marta|
215|	Caldas|
215|	Manizales|
216|	Caldas|
216|	Manizales|
217|	Caldas|
217|	Riosucio|
218|	Caldas|
218|	Manizales|
219|	Caldas|
